"observation_number","dist_cod","county","district","gr_span","enrl_tot","teachers","calw_pct","meal_pct","computer","testscr","comp_stu","expn_stu","str","avginc","el_pct","read_scr","math_scr"
1.000000,75119.000000,"Alameda","Sunol Glen Unified","KK-08",195.000000,10.900000,0.510200,2.040800,67.000000,690.799988,0.343590,6384.911133,17.889910,22.690001,0.000000,691.599976,690.000000
2.000000,61499.000000,"Butte","Manzanita Elementary","KK-08",240.000000,11.150000,15.416700,47.916698,101.000000,661.200012,0.420833,5099.380859,21.524664,9.824000,4.583333,660.500000,661.900024
3.000000,61549.000000,"Butte","Thermalito Union Elementary","KK-08",1550.000000,82.900002,55.032299,76.322601,169.000000,643.599976,0.109032,5501.954590,18.697226,8.978000,30.000002,636.299988,650.900024
4.000000,61457.000000,"Butte","Golden Feather Union Elementary","KK-08",243.000000,14.000000,36.475399,77.049202,85.000000,647.700012,0.349794,7101.831055,17.357143,8.978000,0.000000,651.900024,643.500000
5.000000,61523.000000,"Butte","Palermo Union Elementary","KK-08",1335.000000,71.500000,33.108601,78.427002,171.000000,640.849976,0.128090,5235.987793,18.671329,9.080333,13.857677,641.799988,639.900024
6.000000,62042.000000,"Fresno","Burrel Union Elementary","KK-08",137.000000,6.400000,12.318800,86.956497,25.000000,605.550049,0.182482,5580.146973,21.406250,10.415000,12.408759,605.700012,605.400024
7.000000,68536.000000,"San Joaquin","Holt Union Elementary","KK-08",195.000000,10.000000,12.903200,94.623703,28.000000,606.750000,0.143590,5253.331055,19.500000,6.577000,68.717949,604.500000,609.000000
8.000000,63834.000000,"Kern","Vineland Elementary","KK-08",888.000000,42.500000,18.806299,100.000000,66.000000,609.000000,0.074324,4565.746094,20.894117,8.174000,46.959461,605.500000,612.500000
9.000000,62331.000000,"Fresno","Orange Center Elementary","KK-08",379.000000,19.000000,32.189999,93.139801,35.000000,612.500000,0.092348,5355.548340,19.947369,7.385000,30.079157,608.900024,616.099976
10.000000,67306.000000,"Sacramento","Del Paso Heights Elementary","KK-06",2247.000000,108.000000,78.994202,87.316399,0.000000,612.650024,0.000000,5036.211426,20.805555,11.613333,40.275921,611.900024,613.400024
11.000000,65722.000000,"Merced","Le Grand Union Elementary","KK-08",446.000000,21.000000,18.609900,85.874397,86.000000,615.750000,0.192825,4547.692383,21.238094,8.931000,52.914799,612.799988,618.700012
12.000000,62174.000000,"Fresno","West Fresno Elementary","KK-08",987.000000,47.000000,71.713097,98.605598,56.000000,616.299988,0.056738,5447.345215,21.000000,7.385000,54.609932,616.599976,616.000000
13.000000,71795.000000,"Tulare","Allensworth Elementary","KK-08",103.000000,5.000000,22.429899,98.130798,25.000000,616.299988,0.242718,6567.149414,20.600000,5.335000,42.718445,612.799988,619.799988
14.000000,72181.000000,"Tulare","Sunnyside Union Elementary","KK-08",487.000000,24.340000,24.609400,77.148399,0.000000,616.299988,0.000000,4818.612793,20.008217,8.279000,20.533880,610.000000,622.599976
15.000000,72298.000000,"Tulare","Woodville Elementary","KK-08",649.000000,36.000000,14.637900,76.271202,31.000000,616.450012,0.047766,5621.456055,18.027779,9.630000,80.123260,611.900024,621.000000
16.000000,72041.000000,"Tulare","Pixley Union Elementary","KK-08",852.000000,42.070000,24.214199,94.295700,80.000000,617.349976,0.093897,6026.359863,20.251961,7.454000,49.413143,614.799988,619.900024
17.000000,63594.000000,"Kern","Lost Hills Union Elementary","KK-08",491.000000,28.920000,11.201600,97.759697,100.000000,618.050049,0.203666,6723.237793,16.977869,6.216000,85.539719,611.700012,624.400024
18.000000,63370.000000,"Kern","Buttonwillow Union Elementary","KK-08",421.000000,25.500000,8.551100,77.909698,50.000000,618.300049,0.118765,5589.885254,16.509804,7.764000,58.907364,614.900024,621.700012
19.000000,64709.000000,"Los Angeles","Lennox Elementary","KK-08",6880.000000,303.029999,21.282400,94.971199,960.000000,619.799988,0.139535,5064.615723,22.704023,7.022000,77.005814,619.099976,620.500000
20.000000,63560.000000,"Kern","Lamont Elementary","KK-08",2688.000000,135.000000,23.437500,93.229202,139.000000,620.299988,0.051711,5433.593262,19.911112,5.699000,49.813988,621.299988,619.299988
21.000000,63230.000000,"Imperial","Westmorland Union Elementary","KK-08",440.000000,24.000000,34.772701,100.000000,69.000000,620.500000,0.156818,5725.563477,18.333334,7.941000,40.681820,615.599976,625.400024
22.000000,72058.000000,"Tulare","Pleasant View Elementary","KK-08",475.000000,21.000000,21.649500,91.546402,53.000000,621.400024,0.111579,4542.104980,22.619047,9.630000,16.210526,619.900024,622.900024
23.000000,63842.000000,"Kern","Wasco Union Elementary","KK-08",2538.000000,130.500000,18.911100,70.816704,169.000000,621.750000,0.066588,5107.086426,19.448277,7.405000,45.074863,622.900024,620.599976
24.000000,71811.000000,"Tulare","Alta Vista Elementary","KK-08",476.000000,19.000000,43.855900,100.000000,0.000000,622.050049,0.000000,4659.661621,25.052631,9.630000,39.075630,620.700012,623.400024
25.000000,65748.000000,"Merced","Livingston Union Elementary","KK-08",2357.000000,114.000000,16.801001,90.623703,216.000000,622.599976,0.091642,4555.464355,20.675438,8.019000,76.665253,619.500000,625.700012
26.000000,72272.000000,"Tulare","Woodlake Union Elementary","KK-08",1588.000000,85.000000,22.407200,85.147202,198.000000,623.099976,0.124685,5415.152832,18.682352,8.523000,40.491184,625.000000,621.200012
27.000000,65961.000000,"Monterey","Alisal Union Elementary","KK-06",7306.000000,319.799988,17.001499,88.034897,742.000000,623.200012,0.101560,4997.871582,22.845530,7.983181,73.720230,620.400024,626.000000
28.000000,63313.000000,"Kern","Arvin Union Elementary","KK-08",2601.000000,135.000000,15.071100,92.195297,269.000000,623.450012,0.103422,5223.912109,19.266666,7.305000,70.011536,616.500000,630.400024
29.000000,72199.000000,"Tulare","Terra Bella Union Elementary","KK-08",847.000000,44.000000,16.292801,90.200699,67.000000,623.599976,0.079103,5139.164551,19.250000,8.934000,55.962215,620.099976,627.099976
30.000000,72215.000000,"Tulare","Tipton Elementary","KK-08",452.000000,22.000000,14.498900,81.023499,55.000000,624.150024,0.121681,4614.251953,20.545454,8.554000,11.061947,627.900024,620.400024
31.000000,68379.000000,"San Diego","San Ysidro Elementary","KK-08",4142.000000,201.000000,35.562500,81.506500,569.000000,624.550049,0.137373,5342.233398,20.606966,6.613000,80.420090,620.400024,628.700012
32.000000,75440.000000,"Monterey","Soledad Unified","KK-08",2102.000000,99.750000,15.319900,90.284897,224.000000,624.950012,0.106565,5347.458496,21.072681,12.409000,63.130356,623.000000,626.900024
33.000000,64816.000000,"Los Angeles","Mountain View Elementary","KK-08",10012.000000,464.899994,29.763901,91.593399,721.000000,625.299988,0.072014,5036.458984,21.535814,8.126616,65.121857,620.799988,629.799988
34.000000,66050.000000,"Monterey","King City Union Elementary","KK-08",2488.000000,125.000000,12.692000,55.092999,202.000000,625.849976,0.081190,5117.141602,19.903999,11.431000,53.416401,626.099976,625.599976
35.000000,67819.000000,"San Bernardino","Ontario-Montclair Elementary","KK-08",25151.000000,1186.699951,17.442600,80.195602,1713.000000,626.099976,0.068109,5117.039551,21.194069,11.722225,49.823071,625.400024,626.799988
36.000000,64758.000000,"Los Angeles","Los Nietos Elementary","KK-08",2267.000000,103.680000,19.151699,84.433800,177.000000,626.800049,0.078077,5272.191895,21.865355,11.332500,35.465370,625.400024,628.200012
37.000000,65870.000000,"Merced","Winton Elementary","KK-08",1657.000000,90.400002,28.847300,84.731400,204.000000,626.900024,0.123114,5225.719238,18.329645,9.598000,56.125526,623.599976,630.200012
38.000000,62380.000000,"Fresno","Raisin City Elementary","KK-08",284.000000,17.500000,14.527000,94.932404,18.000000,627.099976,0.063380,6516.533203,16.228571,14.558000,32.394367,628.900024,625.299988
39.000000,68999.000000,"San Mateo","Ravenswood City Elementary","KK-08",5370.000000,280.000000,19.571699,81.117302,562.000000,627.250000,0.104655,4559.176758,19.178572,22.059999,65.512100,624.400024,630.099976
40.000000,63578.000000,"Kern","Richland-Lerdo Union Elementary","KK-08",2471.000000,121.860001,23.796000,87.778198,275.000000,627.299988,0.111291,5119.158203,20.277367,9.709000,53.055443,627.500000,627.099976
41.000000,72538.000000,"Ventura","Oxnard Elementary","KK-08",15386.000000,669.359985,12.506400,71.433098,1762.000000,628.250000,0.114520,5338.185547,22.986137,11.482944,49.642532,627.799988,628.700012
42.000000,65680.000000,"Merced","El Nido Elementary","KK-08",184.000000,9.000000,22.282600,85.869598,40.000000,628.400024,0.217391,5090.044922,20.444445,8.178000,45.108696,621.599976,635.200012
43.000000,63461.000000,"Kern","Fairfax Elementary","KK-08",1217.000000,61.400002,33.908001,88.095200,78.000000,628.550049,0.064092,5485.496094,19.820847,8.174000,30.320459,629.400024,627.700012
44.000000,63404.000000,"Kern","Delano Union Elementary","KK-08",6219.000000,268.000000,21.498600,100.000000,571.000000,628.650024,0.091815,4793.370117,23.205223,7.500000,52.243126,621.099976,636.200012
45.000000,67199.000000,"Riverside","Perris Elementary","KK-06",4258.000000,221.000000,24.659500,92.743103,324.000000,628.750000,0.076092,5092.917480,19.266968,10.050500,36.801315,626.500000,631.000000
46.000000,65078.000000,"Los Angeles","Valle Lindo Elementary","KK-08",1235.000000,53.000000,8.218300,62.130199,175.000000,629.800049,0.141700,4359.520996,23.301888,7.332000,30.283400,630.200012,629.400024
47.000000,69369.000000,"Santa Clara","Alum Rock Union Elementary","KK-08",16244.000000,766.650024,17.453100,69.739899,1423.000000,630.349976,0.087602,5645.495605,21.188286,12.581577,49.864567,629.500000,631.200012
48.000000,63438.000000,"Kern","Edison Elementary","KK-08",814.000000,39.000000,19.778900,67.444702,85.000000,630.400024,0.104423,4518.016113,20.871796,15.177000,13.759213,631.900024,628.900024
49.000000,63321.000000,"Kern","Bakersfield City Elementary","KK-08",27176.000000,1429.000000,39.218399,84.294998,3324.000000,630.549988,0.122314,5864.366211,19.017494,12.109128,28.863705,631.599976,629.500000
50.000000,69450.000000,"Santa Clara","Franklin-McKinley Elementary","KK-08",10696.000000,487.970001,22.157801,70.895699,1306.000000,630.549988,0.122102,5257.996582,21.919380,11.785000,52.804787,628.500000,632.599976
51.000000,64592.000000,"Los Angeles","Hawthorne Elementary","KK-08",8935.000000,444.500000,36.945099,79.512001,786.000000,631.050049,0.087969,5016.692383,20.101238,14.062000,44.085060,628.400024,633.700012
52.000000,65193.000000,"Madera","Chowchilla Elementary","KK-08",1600.000000,74.500000,27.261400,79.725502,242.000000,631.400024,0.151250,4720.086426,21.476511,10.472000,35.250000,635.700012,627.099976
53.000000,66142.000000,"Monterey","Salinas City Elementary","KK-06",9028.000000,449.920013,13.988500,69.942497,669.000000,631.849976,0.074103,5470.562500,20.065788,13.405117,37.494461,633.000000,630.700012
54.000000,69120.000000,"Santa Barbara","Santa Maria-Bonita Elementary","KK-08",10625.000000,521.469971,7.497500,77.525597,896.000000,631.900024,0.084329,5615.441895,20.375095,12.301800,50.390591,629.599976,634.200012
55.000000,65110.000000,"Los Angeles","Whittier City Elementary","KK-08",7151.000000,318.579987,18.548100,61.738201,560.000000,631.950012,0.078311,5245.439941,22.446482,15.404071,31.072578,634.200012,629.700012
56.000000,64477.000000,"Los Angeles","Eastside Union Elementary","KK-08",2404.000000,105.000000,20.927401,52.943501,202.000000,632.000000,0.084027,4838.175293,22.895239,13.762000,18.261232,633.500000,630.500000
57.000000,64691.000000,"Los Angeles","Lawndale Elementary","KK-08",5804.000000,283.149994,28.342501,81.116501,480.000000,632.200012,0.082702,5367.988281,20.497971,14.184000,34.700207,631.400024,633.000000
58.000000,67421.000000,"Sacramento","Robla Elementary","KK-06",2253.000000,112.650002,43.497601,84.553902,196.000000,632.250000,0.086995,5526.236816,20.000000,8.865000,33.288948,637.500000,627.000000
59.000000,66191.000000,"Monterey","Santa Rita Union Elementary","KK-08",2807.000000,126.120003,15.459500,52.396400,152.000000,632.449951,0.054150,4353.019531,22.256580,12.997000,33.487709,637.299988,627.599976
60.000000,72561.000000,"Ventura","Rio Elementary","KK-08",3074.000000,142.550003,11.289800,66.194901,249.000000,632.849976,0.081002,5034.290039,21.564363,11.592000,38.158752,633.200012,632.500000
61.000000,72157.000000,"Tulare","Strathmore Union Elementary","KK-08",723.000000,37.119999,25.921101,83.157898,45.000000,632.950012,0.062241,4692.493652,19.477371,8.279000,36.929462,629.200012,636.700012
62.000000,67397.000000,"Sacramento","North Sacramento Elementary","KK-06",5138.000000,290.774994,58.752201,84.999001,560.000000,633.049988,0.108992,5606.781738,17.670021,10.905643,32.989491,630.299988,635.799988
63.000000,66423.000000,"Orange","Anaheim Elementary","KK-06",20927.000000,953.500000,10.911400,82.392601,1048.000000,633.150024,0.050079,4969.180664,21.947561,13.400625,58.216656,629.599976,636.700012
64.000000,63974.000000,"Kings","Lemoore Union Elementary","KK-08",3017.000000,138.500000,14.976800,56.063599,496.000000,633.650024,0.164402,4675.674805,21.783394,11.081000,17.003647,634.400024,632.900024
65.000000,63875.000000,"Kings","Armona Union Elementary","KK-08",957.000000,50.000000,27.168200,82.131699,149.000000,633.900024,0.155695,5306.132812,19.139999,9.082000,17.659353,634.700012,633.099976
66.000000,63339.000000,"Kern","Beardsley Elementary","KK-08",1639.000000,90.500000,46.888199,80.604202,287.000000,634.000000,0.175107,5693.883301,18.110497,13.390000,7.321537,638.400024,629.599976
67.000000,65037.000000,"Los Angeles","South Whittier Elementary","KK-08",4340.000000,209.839996,17.702600,93.922699,284.000000,634.050049,0.065438,5181.579590,20.682425,14.601625,31.198156,631.900024,636.200012
68.000000,63917.000000,"Kings","Hanford Elementary","KK-08",5079.000000,224.500000,25.559299,63.803600,585.000000,634.099976,0.115180,5228.650879,22.623608,11.116000,16.617445,637.700012,630.500000
69.000000,68221.000000,"San Diego","National Elementary","KK-06",6639.000000,304.730011,26.841400,100.000000,505.000000,634.099976,0.076066,5339.391113,21.786499,8.423000,58.081036,631.500000,636.700012
70.000000,70904.000000,"Sonoma","Roseland Elementary","KK-06",1154.000000,62.099998,22.927700,84.920601,129.000000,634.150024,0.111785,6056.497070,18.582932,11.665000,55.892544,636.799988,631.500000
71.000000,63420.000000,"Kern","Di Giorgio Elementary","KK-08",237.000000,11.000000,19.831200,76.793198,13.000000,634.199951,0.054852,4845.680176,21.545454,7.305000,5.485232,631.799988,636.599976
72.000000,64642.000000,"Los Angeles","Keppel Union Elementary","KK-08",2987.000000,141.210007,21.258801,68.396400,273.000000,634.400024,0.091396,4826.666016,21.152891,13.730599,14.429193,637.700012,631.099976
73.000000,63966.000000,"Kings","Lakeside Union Elementary","KK-08",499.000000,30.000000,40.367001,83.119301,94.000000,634.549988,0.188377,5367.090332,16.633333,11.116000,22.845692,635.500000,633.599976
74.000000,65771.000000,"Merced","Merced City Elementary","KK-08",11474.000000,542.650024,40.552601,77.008904,1248.000000,634.700012,0.108768,5742.732910,21.144382,10.364429,38.783337,633.200012,636.200012
75.000000,69203.000000,"Santa Barbara","Guadalupe Union Elementary","KK-08",1088.000000,55.000000,14.154400,86.029404,107.000000,634.900024,0.098346,4136.250977,19.781818,6.983000,64.246323,631.099976,638.700012
76.000000,67694.000000,"San Bernardino","Cucamonga Elementary","KK-08",2660.000000,140.119995,15.760100,74.850998,259.000000,634.949951,0.097368,5267.831055,18.983728,14.467800,25.225565,637.799988,632.099976
77.000000,61705.000000,"Contra Costa","Knightsen Elementary","KK-08",353.000000,19.980000,8.672100,33.062302,8.000000,635.049988,0.022663,5238.392090,17.667667,14.653000,5.382436,636.599976,633.500000
78.000000,63008.000000,"Humboldt","Rio Dell Elementary","KK-08",329.000000,18.530001,28.915701,85.542198,37.000000,635.199951,0.112462,5462.899414,17.754992,10.629000,6.079028,644.299988,626.099976
79.000000,70417.000000,"Siskiyou","Montague Elementary","KK-08",252.000000,16.500000,23.456800,66.255096,32.000000,635.450012,0.126984,6313.373535,15.272727,9.781000,0.000000,640.900024,630.000000
80.000000,70409.000000,"Siskiyou","McCloud Union Elementary","KK-08",175.000000,12.500000,21.764700,68.823502,31.000000,635.599976,0.177143,6653.030762,14.000000,10.656000,0.000000,634.599976,636.599976
81.000000,72587.000000,"Ventura","Santa Paula Elementary","KK-08",3835.000000,186.199997,13.991100,72.862801,897.000000,635.599976,0.233898,5533.149414,20.596134,11.938000,34.889179,633.000000,638.200012
82.000000,62539.000000,"Fresno","West Park Elementary","KK-08",314.000000,19.250000,29.936300,93.630600,8.000000,635.750000,0.025478,6118.710449,16.311687,7.385000,13.057324,636.700012,634.799988
83.000000,65631.000000,"Merced","Atwater Elementary","KK-08",4458.000000,211.000000,22.222200,72.320801,445.000000,635.950012,0.099821,5098.626953,21.127962,10.676000,36.025124,633.200012,638.700012
84.000000,65862.000000,"Merced","Weaver Union Elementary","KK-08",1313.000000,75.080002,32.086800,73.597603,112.000000,636.099976,0.085301,5652.878906,17.488012,9.972000,34.653465,633.900024,638.299988
85.000000,62356.000000,"Fresno","Pacific Union Elementary","KK-08",474.000000,26.500000,21.518999,75.738403,36.000000,636.500000,0.075949,5329.002441,17.886793,8.258000,28.691982,634.700012,638.299988
86.000000,75051.000000,"San Bernardino","Lucerne Valley Unified","KK-08",1114.000000,57.700001,29.446800,62.212799,277.000000,636.599976,0.248654,5929.809082,19.306759,8.896000,1.795332,645.400024,627.799988
87.000000,67231.000000,"Riverside","Romoland Elementary","KK-06",1358.000000,65.000000,14.790300,80.868301,178.000000,636.699951,0.131075,4897.067871,20.892307,12.062000,30.633286,632.299988,641.099976
88.000000,64501.000000,"Los Angeles","El Monte City Elementary","KK-08",11629.000000,546.299988,25.379400,83.873703,1015.000000,636.900024,0.087282,5100.202148,21.286839,9.428895,59.033455,632.400024,641.400024
89.000000,63503.000000,"Kern","Greenfield Union Elementary","KK-08",6195.000000,306.750000,21.043301,68.571899,1261.000000,636.950012,0.203551,4825.722656,20.195599,8.920333,13.559322,636.200012,637.700012
90.000000,72033.000000,"Tulare","Palo Verde Union Elementary","KK-08",499.000000,20.000000,23.699400,80.924896,35.000000,637.000000,0.070140,4079.129150,24.950001,10.098000,5.010020,636.099976,637.900024
91.000000,67322.000000,"Sacramento","Elverta Joint Elementary","KK-08",417.000000,23.000000,19.904100,46.043201,27.000000,637.099976,0.064748,5349.367676,18.130434,11.830000,0.959233,638.000000,636.200012
92.000000,64048.000000,"Lake","Lucerne Elementary","KK-08",300.000000,15.000000,48.344398,72.185402,55.000000,637.349976,0.183333,5869.389160,20.000000,11.553000,0.666667,640.900024,633.799988
93.000000,69542.000000,"Santa Clara","Luther Burbank Elementary","KK-08",457.000000,24.400000,16.816099,67.712997,50.000000,637.650024,0.109409,6462.127930,18.729509,19.707001,38.512035,644.900024,630.400024
94.000000,61382.000000,"Butte","Bangor Union Elementary","KK-08",146.000000,8.000000,25.342501,54.109600,34.000000,637.949951,0.232877,6231.601562,18.250000,7.105000,0.000000,646.099976,629.799988
95.000000,68858.000000,"San Mateo","Bayshore Elementary","KK-08",460.000000,24.219999,10.593200,66.949203,71.000000,637.950012,0.154348,4993.867676,18.992569,13.725000,17.173914,633.200012,642.700012
96.000000,72017.000000,"Tulare","Oak Valley Union Elementary","KK-08",354.000000,17.799999,10.277800,59.722198,28.000000,638.000000,0.079096,4663.811035,19.887642,10.098000,9.887006,636.700012,639.299988
97.000000,65151.000000,"Los Angeles","Wilsona Elementary","KK-08",1841.000000,95.000000,25.257999,64.747398,315.000000,638.200012,0.171103,6107.106445,19.378948,13.762000,19.391636,640.400024,636.000000
98.000000,63073.000000,"Imperial","Brawley Elementary","KK-08",3760.000000,183.750000,26.901600,65.796097,717.000000,638.300049,0.190691,5324.228027,20.462585,9.665000,36.489361,636.200012,640.400024
99.000000,63198.000000,"Imperial","Meadows Union Elementary","KK-08",500.000000,22.430000,18.799999,83.000000,70.000000,638.300049,0.140000,5221.460938,22.291573,10.264000,39.399998,630.400024,646.200012
100.000000,64717.000000,"Los Angeles","Little Lake City Elementary","KK-08",5112.000000,246.899994,10.691200,59.723499,383.000000,638.349976,0.074922,5157.784668,20.704739,11.569201,28.677622,638.599976,638.099976
101.000000,63719.000000,"Kern","Pond Union Elementary","KK-08",146.000000,7.660000,13.698600,66.438400,28.000000,638.549988,0.191781,5131.119141,19.060053,7.405000,13.698630,637.500000,639.599976
102.000000,63800.000000,"Kern","Taft City Elementary","KK-08",2141.000000,105.820000,26.496500,65.382797,134.000000,638.700012,0.062588,5279.354004,20.232470,12.077000,11.349836,636.900024,640.500000
103.000000,71357.000000,"Sutter","Brittan Elementary","KK-08",610.000000,30.980000,8.524600,56.065601,144.000000,639.250000,0.236066,4704.043945,19.690123,11.283000,3.442623,640.299988,638.200012
104.000000,65557.000000,"Mendocino","Arena Union Elementary","KK-08",337.000000,16.549999,21.262501,60.132900,26.000000,639.300049,0.077151,6089.910645,20.362539,10.035000,15.430267,642.700012,635.900024
